institucion,dominio_anterior,dominio_nuevo,nombre_real,nota
Pepperdine University (Graziadio Business School),,bschool.pepperdine.edu,Pepperdine Graziadio Business School,"La ficha no traia dominio. La escuela de negocios NO esta en la portada de pepperdine.edu sino en el subdominio bschool.pepperdine.edu (servido por CloudFront), que vive y es la Pepperdine Graziadio Business School, en Malibu, California, con sedes adicionales en el sur del estado. Unas 10 rutas: DBA, MBA full-time, part-time y executive, varios MS (Applied Finance, Business Analytics, Global Business, Human Resources, Management and Leadership, Real Estate, Organization Development), bachelor completion, dobles titulaciones y educacion ejecutiva. Coherente con puede_vender posgrado. Hay comparador en /programs/comparison."
REFORMED UNIVERSITY,,runiv.edu,Reformed University,"La ficha no traia dominio. El dominio obvio reformeduniversity.edu es NXDOMAIN contra 8.8.8.8: el bueno es runiv.edu, que vive y se titula 'Reformed University'. Correccion de ciudad: no esta en Atlanta sino en Lawrenceville, Georgia (1724 Atkinson Rd), area metropolitana de Atlanta. Es una universidad cristiana pequena y su catalogo es minusculo: 5 programas (BA Business, BA Theology Studies, MBA, Master of Divinity y MA Leadership Studies) mas certificados y diplomas, con un programa online en coreano desde otono 2026. Si la extraccion devuelve mas de 10 programas, algo se colo de otro sitio. Verificar acreditacion con el cliente antes de venderla como universidad."
RPI ensselaer Polytechnic Institute,rpi.intostudy.com,rpi.edu,Rensselaer Polytechnic Institute,"Dos arreglos. Nombre: la ficha dice 'RPI ensselaer', le falta la R, es Rensselaer Polytechnic Institute. Dominio: rpi.intostudy.com responde 200 con 351KB y logo de RPI, pero es el portal de INTO University Partnerships y su catalogo esta VACIO, igual que el de New England College en este mismo lote: /en/search da '0 results - No programs found' y /en/degrees solo nombra las cinco escuelas sin un solo programa concreto. El catalogo real esta en rpi.edu/academics, unos 100 programas (40 bachelor, 35 master, 25 doctorado) en Arquitectura, Ingenieria, Ciencias, Lally School of Management y HASS. Ciudad de la ficha imprecisa: RPI esta en Troy, Nueva York, no en la ciudad de Nueva York. El catalogo detallado catalog.rpi.edu tiene proteccion anti-bot: devuelve 202 con cuerpo vacio a curl, hay que leerlo desde navegador."
Rutgers University – Camden,,camden.rutgers.edu,Rutgers University-Camden,"La ficha no traia dominio. El campus de Camden no cuelga de rutgers.edu como ruta sino del SUBDOMINIO camden.rutgers.edu, que vive. 38 carreras de pregrado y 29 programas de posgrado, mas minors, certificados y titulos conjuntos. Camden, Nueva Jersey (la ficha dice 'Nueva Jersey', que es el estado). CUIDADO al extraer: Rutgers tiene tres campus con catalogos distintos e incompatibles (New Brunswick en rutgers.edu, Newark en newark.rutgers.edu y este); traer programas del campus equivocado es el error facil aqui."
Saint George´s University,,sgu.edu,St. George's University,"ERROR DE PAIS EN LA FICHA, importante para visado y para el asesor. La ficha no traia dominio y dice USA / Nueva York; sgu.edu vive y es St. George's University, pero su campus esta en GRANADA (Grenada), Antillas Occidentales, en el Caribe. La direccion de Great River, Nueva York es solo la oficina de admisiones para Estados Unidos, no un campus. Unos 40 programas en cuatro escuelas: School of Medicine (MD de 4 a 7 anos, BSc/MD, MD/MPH, MD/MSc, PhD medico), School of Veterinary Medicine (DVM de 4 a 7 anos y dobles con MPH, MSc y MBA), School of Arts & Sciences (11 de pregrado) y School of Graduate Studies (10+, con MBA, MPH, MA, MSc y PhD). La ficha autoriza 'todos'."
Saint Louis University,,slu.edu,,"La ficha no traia dominio ni ciudad. slu.edu vive y es Saint Louis University, en St. Louis, Misuri. 97 programas de bachelor y 126 de master y doctorado. TRAMPA DE SUBDOMINIO: el catalogo completo esta en catalog.slu.edu/programs, no en la portada. OJO al extraer, la ficha autoriza 'todos': SLU tiene un campus propio en Madrid, Espana (SLU-Madrid) con oferta parcialmente distinta; si el cliente quiere vender Madrid hay que fichar ese campus aparte y no mezclarlo con el catalogo de Misuri."
Simmons University,,simmons.edu,Simmons University,"La ficha no traia dominio ni ciudad. simmons.edu vive (Cloudflare, 200 con UA de Chrome) y es Simmons University, Boston MA (Fenway). El listado 'Find a Program' es plano A-Z, ~130 fichas entre majors, minors, concentrations, masters, doctorados y certificados; conte 97 enlaces unicos en el HTML crudo, asi que parte del listado se pinta por JS: si la extraccion trae menos de 90 se quedo corta. OJO CONTRA LA FICHA: puede_vender dice 'pathway' y en el sitio NO se ve ningun pathway, foundation, bridge ni instituto de ingles; Simmons solo tiene servicios de apoyo para internacionales. Validar con el cliente de donde sale ese pathway antes de vender."
St. Thomas University,,stu.edu,St. Thomas University,"La ficha no traia dominio. stu.edu vive y es la St. Thomas University catolica de MIAMI GARDENS, FL (no Miami ciudad, corregir). OJO AL HOMONIMO: existen al menos otras dos con ese nombre (St. Thomas University de Fredericton, Canada, stu.ca, y University of St. Thomas de Minnesota, stthomas.edu); esta es la de Florida, con College of Law propio. Listado en /programs/ organizado por colleges (nursing, business, health sciences, liberal arts) mas online."
Summer Discovery,,summerdiscovery.com,"Summer Discovery (Musiker Discovery Programs, Inc.)","La ficha no traia dominio ni ciudad. NO es una institucion con sede propia: es un operador de programas de verano que alquila campus ajenos (UPenn Carey Law, Yale, Cornell, Dartmouth, University of Oregon; declara 15+ campus en Norteamerica y Europa). Declara 300+ cursos, precios USD 4.499-11.999. No emite titulos: la ficha dice puede_vender 'todos' y eso es falso, aqui solo hay vacacional/pre-college. Razon social Musiker Discovery Programs, Inc."
Texas A&M University-Corpus Christi,isc.tamucc.edu,tamucc.edu,Texas A&M University-Corpus Christi,"HALLAZGO: isc.tamucc.edu VIVE y es de esta universidad, pero es el International Study Center que opera STUDY GROUP y NO PUBLICA UN SOLO PROGRAMA. Su sitemap completo son 28 URLs: admisiones, tasas, visado, alojamiento, vida en campus y blog. Cero paginas de curso, cero seccion /programs o /courses. Para el posgrado que autoriza la ficha hay que ir a tamucc.edu/programs/index.php ('Program Finder'), que ademas se pinta por JavaScript (el HTML crudo no trae enlaces a fichas de programa). Ciudad de la ficha mal: es Corpus Christi, no 'Texas'."
Texas State University,intostudy.com,txst.edu,Texas State University,"DOMINIO DE LA FICHA MAL PUESTO: 'intostudy.com' es el portal corporativo global de INTO University Partnerships, no un sitio de Texas State; si se extrae de ahi salen programas de otras universidades. Comprobado ademas que txst.intostudy.com SI resuelve en DNS pero devuelve 404 - no hay centro INTO propio, y el portal de socios de INTO lista hoy a Texas State solo como 'Direct Entry only Partner University'. El catalogo real vive en txst.edu (dominio espejo txstate.edu, misma IP): mycatalog.txstate.edu es el catalogo academico completo, admissions.txst.edu/life-at-txst/majors-and-degrees.html el de pregrado y gradcollege.txst.edu/programs.html el de posgrado. Ciudad real San Marcos, TX. El 'idiomas' que autoriza la ficha no aparece en el sitio."
Texas Wesleyan University,,txwes.edu,Texas Wesleyan University,"La ficha no traia dominio ni puede_vender. txwes.edu vive y es Texas Wesleyan University, FORT WORTH, TX (la ficha solo dice 'Texas'). El catalogo formal esta en un SUBDOMINIO, catalog.txwes.edu; las paginas de marketing son txwes.edu/academics/undergraduate-majors/ y /academics/graduate-programs/. Universidad chica: 30+ majors de pregrado, 18 de posgrado y 4 doctorados, en cuatro escuelas."
The Language Company (TLC),,tlc.edu,The Language Company,"La ficha no traia dominio. OJO: thelanguagecompany.com responde 301 a tlc.edu - es el mismo sitio, no una caida, pero el dominio bueno es tlc.edu. Ademas /  da 403 a WebFetch y 200 con User-Agent de Chrome. Catalogo de 6 items en /programs/ (anclas #intensive, #semiintensive, #private, #special) mas el pathway 'University PASS'. HALLAZGO CRUZADO CON ESTE MISMO LOTE: solo tiene DOS sedes y ambas dentro de campus ajenos - TLC-Dallas/Fort Worth dentro de TEXAS WESLEYAN UNIVERSITY y TLC-Edmond dentro de University of Central Oklahoma; la oficina central esta en Edmond, OK. Eso confirma la ciudad 'Texas, Oklahoma' de la ficha y lo enlaza con la ficha Texas Wesleyan University de este lote."
The University of Arizona,,arizona.edu,The University of Arizona,"DUPLICADA: es la misma institucion que la ficha 'University of Arizona' (Tucson) de este mismo lote; consolidar antes de extraer o el catalogo saldra por duplicado. FALSO MUERTO: arizona.edu y www.arizona.edu NO resuelven desde el resolver local (timeout) pero SI tienen registro A contra 8.8.8.8 (23.185.0.4, mas IPv6); con --resolve responde 200 y es la universidad de Tucson. El catalogo esta en un SUBDOMINIO, catalog.arizona.edu (plataforma Coursedog), y tanto ese como www.arizona.edu/degree-search se pintan por JavaScript: el HTML crudo no trae ni un enlace de programa, asi que la cantidad 300 es estimacion, no conteo. Programas online aparte en online.arizona.edu/programs/all."
Towson University,,towson.edu,Towson University,"La ficha no traia dominio. towson.edu vive y es Towson University, Towson MD (area de Baltimore; la ficha solo dice 'Maryland'). El catalogo esta partido: /academics/undergraduate/majors/ declara 110+ majors, concentraciones y tracks, y /academics/graduate/programs/ lleva el posgrado. OJO: las URLs con /index.html responden 301 a la version sin el, y redirigen a http:// - seguir la redireccion. Sobre el 'pathway' que autoriza la ficha: lo que Towson publica es un ACCELERATED PATHWAY interno de pregrado a posgrado, no un foundation internacional de tercero (no hay Navitas/Shorelight/INTO); el ingles lo da su propio English Language Center. Verificar que sea eso lo que el cliente cree vender."
USA Private School,,usaprivateschool.com,"USA Private School International Services, Corporation","Ficha sin dominio, sin ciudad, sin categoria y sin puede_vender. IDENTIFICACION POR NOMBRE EXACTO, verificar con el cliente antes de extraer: usaprivateschool.com vive y es 'USA Private School Group', oficina en 244 Fifth Ave, Nueva York, que coloca internacionales en 11 colegios privados socios (LA 5, Boston 2, Nueva York 1, Florida 1, Pennsylvania 1, Atlanta 1: Saint Joseph HS, Saint Monica Prep, St. Pius X-St. Matthias, Fairmont Private Schools, Bishop Guertin, The Knox School, Creekside Christian, Saint John Bosco, Erie Prep, Melbourne Central Catholic y St. Thomas Aquinas). NO es un colegio: es una red de colocacion; lo extraible son 11 colegios, no programas academicos. TRAMPAS DESCARTADAS: usaprivateschools.com y privateschoolusa.com dan 200 OK con 114 bytes y redirigen por JS a /lander (parking); no usarlos."
University of Connecticut,,uconn.edu,University of Connecticut,"La ficha no traia dominio ni ciudad: es UConn, campus principal en STORRS, CT. El catalogo esta en el SUBDOMINIO catalog.uconn.edu, partido en /undergraduate/programs/ y /graduate/programs/ mas un A-Z Index; el listado se pinta por JavaScript (solo 1 enlace de programa en el HTML crudo), asi que 125 sale de lo que declara la propia universidad, no de un conteo. SOBRE EL 'pathway' DE LA FICHA: NO hay foundation de tercero (ni Shorelight, ni INTO, ni Navitas, ni Kaplan) visible en el sitio; lo que existe es el UConn American English Language Institute (UCAELI), en OTRO subdominio, englishlanguage.institute.uconn.edu. Si el cliente vende 'pathway UConn', es eso, y hay que confirmarlo."
University of Hartford,pathways.hartford.edu,hartford.edu,University of Hartford,"El dominio de la ficha, pathways.hartford.edu, VIVE pero es solo el International Pathway Program que opera STUDY GROUP: dos fichas en total, International Year (2, 3 o 4 semestres) y Master's International Year (2 o 3 semestres), mas ingles pre-sessional en el English Language Institute. NO es el catalogo de la universidad. Como la ficha autoriza 'todos', el catalogo bueno es hartford.edu/programs-of-study/default.aspx: 100 programas de pregrado y 64 de posgrado en seis escuelas (Hillyer, Barney, ENHP, CETA, The Hartt School, Hartford Art School). OJO: ese listado tambien se filtra por JavaScript ('Showing __ Programs'), y /academics/programs-of-study/default.aspx NO existe - la ruta buena es sin /academics/."
University of Illinois Chicago (UIC),,uic.edu,University of Illinois Chicago,"La ficha no traia dominio; la ciudad dice 'Illinois' y es CHICAGO. uic.edu vive. El catalogo vive en el SUBDOMINIO catalog.uic.edu, partido en /ucat/ (pregrado) y /gcat/ (posgrado y profesional), con un indice A-Z en /azindex/ que SI trae los enlaces en el HTML crudo: conte 1022 URLs unicas a ucat/gcat, de las cuales 178 terminan en patron claro de titulacion (/bs/, /ms/, /phd/, /dnp/...). El resto son paginas de colegio y de politicas. Ese A-Z es la mejor entrada para extraer; hay ademas PDF completos del catalogo 2026-2027 en nextcatalog.uic.edu."
University of Illinois Springfield (UIS),,uis.edu,University of Illinois Springfield,"La ficha no traia dominio; la ciudad dice 'Illinois' y es SPRINGFIELD. uis.edu vive. OJO CON LA URL: /academics/programs es 404 y /academics/programs-study redirige a /academics/programs-of-study, que es la buena. El sitio declara 59 programas de pregrado y 48 de posgrado mas el doctorado en Public Administration y certificados (~108), y 51 titulaciones online. El listado de la pagina se filtra por JavaScript: en el HTML crudo solo hay 2 enlaces internos, asi que la cifra es la declarada, no un conteo."
University of Mississippi (Ole Miss),,olemiss.edu,,"La ficha no traia dominio. olemiss.edu vive y es Ole Miss. Ciudad de la ficha mal: 'Misisipi' es el estado, el campus esta en Oxford, MS (direccion postal University, MS 38677). El buscador olemiss.edu/programs es JS y a fetch pelado no devuelve ni un programa; el listado estatico y completo esta en catalog.olemiss.edu/programs, con 102 titulos de pregrado desglosados por enfasis. El catalogo de posgrado responde 403 con reto de Cloudflare, asi que el total real ronda los 200."
University of Nebraska at Omaha,,unomaha.edu,,"La ficha no traia dominio. Ciudad de la ficha mal: 'Nebraska' es el estado, la ciudad es Omaha. El buscador si renderiza en HTML: 340 fichas unicas entre bachelors, masters, doctorados, minors y certificados (la propia UNO anuncia '200+' titulos, la diferencia son minors y certificados)."
University of Science and Arts of Oklahoma,,usao.edu,,"La ficha no traia dominio. Ciudad de la ficha mal: 'Oklahoma' es el estado, la universidad esta en Chickasha, OK. El catalogo NO cuelga de usao.edu sino del subdominio SmartCatalog: 36 majors (BA/BS/BFA), 34 minors y una seccion de certificados y micro-credenciales. Es exclusivamente de pregrado, no hay posgrado; coherente con puede_vender."
University of Tulsa,,utulsa.edu,The University of Tulsa,"La ficha no traia dominio. Hallazgo que importa: la ficha SOLO autoriza 'pathway' y el sitio hoy no publica ningun pathway. El subdominio global.utulsa.edu, donde vivia el English Institute for International Students, redirige a utulsa.edu/academics/global-engagement/, que es study abroad, no preparacion de ingles. El buscador /programs es JS; los 66 programas se leen de la API WordPress /wp-json/wp/v2/degree."
University of Wisconsin- Stout,,uwstout.edu,University of Wisconsin-Stout,"La ficha no traia dominio. Ciudad de la ficha mal: 'Wisconsin' es el estado, el campus esta en Menomonie, WI. El catalogo esta partido en dos paginas: 155 entradas de pregrado (majors, minors y certificados) y 51 de posgrado en /academics/graduate-degrees. Ojo que /academics/programs devuelve 404 pese a estar enlazado desde textos viejos."
Virginia Tech (Advantage VT),,vt.edu,Virginia Polytechnic Institute and State University,"La ficha no traia dominio y la categoria esta mal: Virginia Tech es universidad publica land-grant, no 'College Privado'. AdvantageVT no vive en vt.edu sino en el subdominio del Language and Culture Institute, lci.vt.edu/Programs.html, que lista 7 programas (AdvantageVT pregrado, AdvantageVT-Master's, Intensive English, Conditional Admission, English Essentials, International Spouses y clases de idiomas para staff). Los titulos que autoriza la ficha estan aparte: 150+ majors de pregrado en vt.edu/academics/majors.html."
Adelphi University,,adelphi.edu,,"La ficha no traia dominio ni pais ni ciudad: Adelphi esta en Garden City, NY (Long Island), EEUU. El buscador /programs es JS y a fetch pelado solo suelta una decena de enlaces sueltos a onlineprograms.adelphi.edu; el inventario real se saca del program-sitemap.xml, que trae 225 paginas de programa. Ojo: catalog.adelphi.edu (Acalog) responde 202 con reto anti-bot en content.php, asi que no sirve como fuente de extraccion."
American Collegiate,,americancollegiate.com,American Collegiate (en alianza con Shorelight),"Hallazgo importante: NO es una universidad, la categoria de la ficha esta mal. Es un programa de transferencia de Shorelight con sede en Boston (2 Seaport Ln, MA) que coloca el primer ano en American University (Washington DC) o en UCLA Extension (Los Angeles) para luego transferir a otra universidad de EEUU. Eso explica la ciudad 'DC, LA'. No publica catalogo de titulos: solo 7 opciones (Academy, Undergraduate/AC Live, Honors, Pre-Orientation, Virtual Pre-Orientation y las dos sedes presenciales). TRAMPA: americancollegiate.org y americancollegiatedc.org responden 200 pero son 114 bytes que redirigen por JS a /lander, o sea parking; el bueno es el .com."
American University,,american.edu,,"La ficha no traia dominio ni pais ni ciudad: American University esta en Washington, DC. El buscador declara '253 search results'. OJO para la extraccion: american.edu/programs/ devuelve 403 con reto de Cloudflare ('Just a moment...') a curl con User-Agent de Chrome; solo se abrio con un fetch tipo navegador. La portada american.edu si responde 200 normal."
Auburn University,,auburn.edu,,"La ficha no traia dominio ni pais ni ciudad: Auburn esta en Auburn, Alabama. El catalogo NO cuelga de auburn.edu sino del subdominio bulletin.auburn.edu, y esta partido en dos: 190 majors y opciones de pregrado en /undergraduate/majors/ y 166 entradas de posgrado (masters, doctorados y certificados) en /thegraduateschool/graduatedegreesoffered/. Ambas paginas son HTML estatico, faciles de extraer."
Belmont University,,belmont.edu,,"La ficha no traia dominio ni pais ni ciudad: Belmont es una universidad cristiana privada en Nashville, Tennessee. El listado /academics/majors-programs/ es JS y a fetch pelado no devuelve ni un programa; el inventario se saca del sitemap.xml, que trae 155 paginas bajo /academics/majors-programs/ (incluye los programas 'ad-' del Adult Degree). Existe catalog.belmont.edu (Acalog) como alternativa."
Cleveland State University,,csuohio.edu,,"La ficha no traia dominio ni pais ni ciudad: CSU esta en 2121 Euclid Avenue, Cleveland, Ohio. El buscador /majors declara 362 programas (muestra 5 y dice '357 more available') y pagina de 5 en 5, asi que la extraccion tiene que recorrer ~72 paginas o atacar el catalogo. Ojo: catalog.csuohio.edu (Acalog) responde 202 con reto anti-bot en content.php, aunque los preview_program.php enlazados desde la portada si abren."
Florida International University,,fiu.edu,,"La ficha no traia dominio ni pais ni ciudad: FIU esta en Miami, Florida. El buscador si renderiza en el HTML: 223 entradas con su sigla de titulo, aunque la propia pagina dice 'mas de 190 titulos'. Aviso para la extraccion: cada entrada enlaza al subdominio de su facultad (cec.fiu.edu, africana.fiu.edu, business.fiu.edu...), no a una ficha dentro de fiu.edu; existe ademas catalog.fiu.edu como catalogo formal."
Gonzaga University,,gonzaga.edu,,"La ficha no traia dominio ni pais ni ciudad: Gonzaga esta en Spokane, Washington. La pagina institucional declara 16 titulos de pregrado repartidos en 53 majors, 68 minors, 73 concentraciones, 23 maestrias y 5 doctorados. El listado plano y estatico esta en el subdominio catalog.gonzaga.edu/programs/ ('Degree Paths'), con 154 entradas unicas; www.gonzaga.edu/academics/programs da 404."
Heriot-Watt University,,hw.ac.uk,,"La ficha no traia dominio ni pais: Heriot-Watt es britanica, sede en Edimburgo (Escocia), con campus propios en Dubai y en Putrajaya (Malasia); eso explica la ciudad 'Malaysia, Dubai, Edinburgh'. El buscador /search/programmes es Funnelback y a fetch pelado devuelve 'No results found', igual que /study/postgraduate; www.hw.ac.uk/study/courses da 404 directamente. El inventario si es enumerable desde hw.ac.uk/sitemap.xml: 94 cursos de pregrado y 96 de posgrado en el sitio UK, 91 mas entre /dubai/study/ y /malaysia/study/, ~30 en /online/study/ y 26 de la Edinburgh Business School en /ebs/study/."
Johns Hopkins University,,jhu.edu,,"La ficha no traia dominio ni pais ni ciudad: JHU esta en Baltimore, Maryland. El catalogo NO cuelga de jhu.edu sino del subdominio e-catalogue.jhu.edu, y ahi si viene todo el listado renderizado: ~700 entradas (137 M.S., 126 minors, 125 certificados, 80 B.A., 54 M.A., 36 B.S., 24 M.S.E. y demas) repartidas entre las 11 divisiones. Ojo: puede_vender solo dice pregrado y el grueso del catalogo es posgrado."
Louisiana State University,,lsu.edu,,"La ficha no traia dominio ni pais ni ciudad: LSU esta en Baton Rouge, Louisiana. La propia pagina declara 'mas de 330 campos academicos de estudio'; el A-Z de majors trae 99 enlaces de carrera (mas concentraciones) y hay un A-Z de minors aparte en /majors/minors.php. La pagina de posgrado (/graduateschool/admissions/programs.php) no lista los programas a fetch pelado, solo navegacion: para posgrado hay que ir a lsu.edu/catalogs/."
Robert Morris University,,rmu.edu,"Robert Morris University (Pittsburgh, PA)","OJO, riesgo de confusion de institucion y la ficha no trae ciudad para desambiguar: hubo DOS Robert Morris University. La de Illinois (Chicago) se fusiono con Roosevelt University en 2020 y su dominio robertmorris.edu hoy es NXDOMAIN confirmado contra 8.8.8.8. La que vive es la de Pennsylvania, en Moon Township (area de Pittsburgh), en rmu.edu. Esa declara 'mas de 60 areas de estudio de pregrado' en cuatro escuelas, mas posgrado, doctorados y certificados; el catalogo esta partido en /academics/undergraduate, /graduate, /doctoral y /certificates, todos organizados por escuela y no como listado plano."
Stony Brook University,,stonybrook.edu,Stony Brook University (State University of New York),"La ficha no traia dominio ni pais ni ciudad: Stony Brook es publica, del sistema SUNY, en Stony Brook, Long Island, NY. Aviso para la extraccion: en esa pagina solo renderiza la pestana de pregrado (69 majors y 74 minors en el HTML); las pestanas de Graduate y Health Sciences se cargan por JS y a fetch pelado se quedan en 'Loading...'. Para posgrado hay que ir a stonybrook.edu/catalog/graduate/ y stonybrook.edu/catalog/health-sciences/."
